ID,Price
0,21737.93
1,34444.73
2,24060.12
3,7849.95
4,29997.34
5,15346.1
6,19420.69
7,27669.2
8,42445.59
9,13760.08
10,18319.02
11,16002.7
12,38456.88
13,21219.28
14,39556.71
15,6391.27
16,24864.75
17,31627.36
18,15081.0
19,17378.33
20,8298.3
21,21850.31
22,18659.63
23,16316.53
24,30591.0
25,17603.94
26,24208.93
27,32744.35
28,21839.21
29,25236.26
30,17263.65
31,39513.68
32,14818.93
33,20662.81
34,19141.63
35,17445.22
36,24374.83
37,37984.83
38,46090.82
39,42585.52
40,15722.92
41,14523.7
42,27088.42
43,39088.43
44,57360.25
45,14436.96
46,23543.97
47,21840.9
48,16482.47
49,15366.35
50,13934.02
51,19358.16
52,17745.22
53,11621.52
54,25879.48
55,17507.82
56,7134.4
57,15874.39
58,18472.21
59,18682.74
60,6868.99
61,16463.27
62,21930.32
63,19029.71
64,7217.26
65,16965.24
66,17415.8
67,9220.94
68,18566.5
69,12983.25
70,17200.42
71,35907.82
72,25981.01
73,54226.68
74,13372.39
75,6584.95
76,7501.38
77,11032.36
78,9321.08
79,13089.23
80,29436.8
81,11690.93
82,18786.22
83,15545.95
84,12697.5
85,13996.4
86,37168.74
87,11867.93
88,8402.71
89,29706.99
90,43276.07
91,28149.49
92,10770.25
93,29002.51
94,15470.51
95,19715.58
96,12423.79
97,9367.26
98,28816.48
99,22814.19
100,24343.68
101,7211.37
102,33432.86
103,19422.65
104,23529.85
105,34523.25
106,23311.47
107,30468.18
108,53644.24
109,21273.386000000002
110,13073.23
111,7205.21
112,19738.36
113,8691.87
114,14417.12
115,8867.93
116,16400.01
117,8562.7
118,7329.46
119,16484.26
120,7988.93
121,33551.91
122,12656.19
123,15004.9
124,8196.15
125,15904.26
126,28198.57
127,13225.4
128,31325.18
129,16375.48
130,18234.84
131,33862.95
132,30852.29
133,12755.1
134,13691.65
135,36390.88
136,15287.44
137,31278.61
138,13898.79
139,32011.82
140,15693.51
141,56376.37
142,34337.0
143,48043.44
144,9954.0
145,27166.43
146,27053.83
147,11188.05
148,30710.71
149,21933.55
150,16959.2
151,19970.71
152,15102.0
153,9215.07
154,16051.17
155,29458.26
156,31642.57
157,41890.84
158,7853.42
159,20544.92
160,14168.3
161,16433.33
162,15842.23
163,7894.11
164,17527.87
165,19307.97
166,14511.24
167,17589.66
168,26823.11
169,14881.85
170,28173.54
171,22160.89
172,12191.18
173,28683.06
174,8495.39
175,21167.78
176,22061.89
177,20656.91
178,12781.05
179,36192.44
180,7761.54
181,15252.3
182,13066.78
183,18644.18
184,16371.34
185,16684.87
186,16500.75
187,23776.96
188,10763.55
189,17450.56
190,37459.17
191,12042.31
192,11522.78
193,15605.71
194,28064.63
195,10568.73
196,17954.06
197,13163.63
198,11843.75
199,21247.22
200,10554.81
201,19159.67
202,16526.89
203,24836.0
204,25878.84
205,15130.66
206,22208.3
207,14703.67
208,14775.04
209,13859.86
210,12708.29
211,19948.35
212,37374.87
213,41755.66
214,14033.4
215,17008.89
216,9923.15
217,24608.29
218,15334.23
219,43525.70666666667
220,24843.04
221,19595.49
222,14837.73
223,18436.08
224,8555.54
225,12121.98
226,23655.57
227,11417.55
228,51262.28
229,27294.92
230,7563.03
231,13688.05
232,16149.16
233,17867.85
234,20281.9
235,28048.71
236,16112.12
237,21172.81
238,33388.45
239,23201.01
240,19126.6
241,25969.82
242,37285.94
243,12243.0
244,16944.8
245,11120.12
246,18183.36
247,27432.87
248,11911.74
249,30544.46
250,20009.83
251,9436.9
252,7546.66
253,17876.71
254,15502.14
255,15820.39
256,16497.95
257,14815.22
258,66250.23
259,24132.22
260,20703.15
261,46988.75
262,46218.56
263,7992.1
264,17746.96
265,12288.18
266,19849.95
267,15459.02
268,26631.36
269,13608.3
270,36994.05
271,27431.04
272,14643.09
273,23073.32
274,21138.47
275,19757.87
276,18819.32
277,16398.95
278,17147.92
279,41382.71
280,13563.88
281,42049.46
282,19265.5
283,50017.78
284,9695.85
285,17122.71
286,22334.58
287,34149.33
288,45418.14
289,15388.57
290,35385.5
291,12307.54
292,23229.13
293,35543.25
294,24886.26
295,26000.7
296,25371.09
297,10355.37
298,31742.92
299,9646.64
300,14605.37
301,19337.38
302,8532.71
303,12476.81
304,15588.26
305,27436.78
306,16691.54
307,32005.98
308,40027.27
309,5902.81
310,25329.39
311,15371.55
312,22626.29
313,16342.77
314,17386.68
315,17852.16
316,12698.62
317,12584.61
318,16020.74
319,26357.96
320,6942.71
321,25576.6
322,19048.07
323,17450.02
324,21106.12
325,10254.05
326,25731.25
327,13234.51
328,45606.17
329,12826.25
330,28145.37
331,13670.58
332,14522.97
333,13260.9
334,10161.32
335,26889.74
336,17208.54
337,9902.6
338,6988.18
339,10389.79
340,21033.36
341,18290.93
342,18458.46
343,31581.75
344,16466.42
345,15120.67
346,27054.03
347,19955.62
348,29210.82
349,15413.12
350,32205.06
351,10371.1
352,10281.69
353,20289.47
354,10076.7
355,16428.02
356,13023.55
357,30277.97
358,37646.27
359,30720.67
360,36290.31
361,9735.96
362,16169.84
363,16599.56
364,7001.44
365,15186.39
366,11585.09
367,14691.62
368,15351.84
369,28544.49
370,20326.11
371,20625.54
372,10018.87
373,33306.49
374,13282.45
375,35116.81
376,15656.4
377,8691.44
378,14080.13
379,24245.32
380,10603.14
381,28784.49
382,11088.55
383,22608.0
384,9955.12
385,10015.6
386,18651.56
387,36851.63
388,8379.57
389,14119.5
390,36551.01
391,14246.57
392,13127.02
393,11063.9
394,33874.19
395,17047.49
396,18968.42
397,12711.38
398,23523.78
399,34051.77
400,29852.93
401,23906.05
402,9948.86
403,9919.23
404,8750.46
405,7761.28
406,7743.44
407,8227.23
408,15681.67
409,10639.87
410,13582.28
411,13219.44
412,20739.04
413,17608.03
414,13485.15
415,12034.13
416,23183.59
417,17822.24
418,19193.01
419,13959.57
420,28367.47
